Início de Coleta;ir ao jic;bote marinha;31-05-2014-14:23:01;samsung-SM-T211M;31/05/2014 14:23:01
31/05/2014 14:24:58;-26.246835817582905;-48.65571769885719;4.4340615;0.6895301;9.34696451,5
31/05/2014 14:25:03;-26.24710164964199;-48.65642739459872;-1.5227122;5.631162;10.9750247,0
31/05/2014 14:25:08;-26.247295984067023;-48.65703114308417;-1.6663644;3.7541082;6.03338843,4
31/05/2014 14:25:13;-26.247494970448315;-48.657626677304506;0.17238252;7.7093296;12.67011546,8
31/05/2014 14:25:18;-26.24773046001792;-48.658241238445044;-1.0630256;2.2888567;3.093308746,8
31/05/2014 14:25:23;-26.24796506948769;-48.65881581790745;-0.45968673;5.554548;10.30464545,9
31/05/2014 14:25:28;-26.248196535743773;-48.65940481424332;-0.6703765;2.8060043;9.09796647,5
31/05/2014 14:25:33;-26.248425906524062;-48.6599270068109;-0.78529817;3.7253778;8.35097645,7
31/05/2014 14:25:38;-26.248668814077973;-48.66052865982056;-0.6512229;6.8665705;8.32224545,5
31/05/2014 14:25:43;-26.248911847360432;-48.66107180714607;3.1507695;0.23942018;8.49462844,1
31/05/2014 14:25:48;-26.24915601219982;-48.66159601137042;0.32561144;0.89064306;5.564124642,1
31/05/2014 14:25:53;-26.24938395805657;-48.662138571962714;-1.2354081;2.3558946;8.92558445,7
31/05/2014 14:25:58;-26.24963738489896;-48.662723461166024;-0.009576807;0.7374141;7.613561645,9
31/05/2014 14:26:03;-26.249883603304625;-48.66330239921808;-0.11492168;2.1260512;8.20732348,6
31/05/2014 14:26:08;-26.25013204291463;-48.66387538611889;0.48841715;0.93852705;9.94072546,6
31/05/2014 14:26:13;-26.250415854156017;-48.66442808881402;-0.6607997;2.528277;10.2854946,6
31/05/2014 14:26:18;-26.250720787793398;-48.66492069326341;-1.7046716;1.2258313;9.81622743,9
31/05/2014 14:26:23;-26.251037665642798;-48.66543509066105;0.93852705;-0.1436521;4.587290344,8
31/05/2014 14:26:28;-26.251337653957307;-48.66595694795251;-1.1204864;1.2258313;7.68059942,3
31/05/2014 14:26:33;-26.25165813602507;-48.66646614857018;-1.6472107;2.9879637;11.89439444,3
31/05/2014 14:26:38;-26.25198343768716;-48.66696311160922;-0.4309563;3.8786068;9.64384543,0
31/05/2014 14:26:43;-26.25231699552387;-48.66742386482656;-0.8331822;3.0358477;10.45787342,5
31/05/2014 14:26:48;-26.252618115395308;-48.66792325861752;-0.91937345;4.003105;7.53694745,9
31/05/2014 14:26:53;-26.25290967989713;-48.66843832656741;-0.8523358;2.4612393;10.31422142,3
31/05/2014 14:26:58;-26.253189090639353;-48.66897233761847;-1.4077905;2.4133554;9.54807743,0
31/05/2014 14:27:03;-26.25349607784301;-48.66943568922579;-1.5705963;4.462792;11.6070943,7
31/05/2014 14:27:08;-26.25379434786737;-48.669982105493546;-1.5897499;1.7525556;8.41801445,5
31/05/2014 14:27:13;-26.254128743894398;-48.67049868218601;-2.0973208;4.003105;10.87925244,5
31/05/2014 14:27:18;-26.254450902342796;-48.67102297022939;-1.436521;3.514688;11.17613348,4
31/05/2014 14:27:23;-26.254756967537105;-48.671567626297474;-1.7908629;1.8291701;9.87368846,6
31/05/2014 14:27:28;-26.255063703283668;-48.672051932662725;-0.7182605;0.30645782;7.852981643,7
31/05/2014 14:27:33;-26.25539026223123;-48.672539591789246;-1.091756;3.8402996;9.86411145,5
31/05/2014 14:27:38;-26.255706511437893;-48.6729890294373;-0.6991069;1.0630256;12.44984943,2
31/05/2014 14:27:43;-26.25600205734372;-48.6735091265291;-2.2505496;4.5777135;11.99973945,7
31/05/2014 14:27:48;-26.256271158345044;-48.67403257638216;-0.5554548;0.35434186;8.27436142,1
31/05/2014 14:27:53;-26.256577600724995;-48.674521408975124;-1.6089035;3.4572272;11.16655643,9
31/05/2014 14:27:58;-26.25684821046889;-48.67515742778778;-1.5801731;2.4133554;11.85608748,8
31/05/2014 14:28:03;-26.257139858789742;-48.675780203193426;-1.541866;1.5610195;6.57926650,4
31/05/2014 14:28:08;-26.25737773720175;-48.6763306427747;2.3175871;3.0358477;12.02846941,2
31/05/2014 14:28:13;-26.257648849859834;-48.67685677483678;1.3311762;3.9073372;11.05163547,7
31/05/2014 14:28:18;-26.25792528502643;-48.67745063267648;1.1779473;0.8714894;7.68059947,9
31/05/2014 14:28:23;-26.25820037908852;-48.67805094458163;0.9864111;3.5434184;8.59997349,5
31/05/2014 14:28:28;-26.258499235846102;-48.67863826453686;0.7661445;2.4708161;9.16500449,5
31/05/2014 14:28:33;-26.258790926076472;-48.679308984428644;-0.076614454;4.721366;8.91600753,3
31/05/2014 14:28:38;-26.259102397598326;-48.67984425276518;0.22984336;5.93762;9.49061647,7
31/05/2014 14:28:43;-26.259421831928194;-48.680350352078676;0.1436521;4.711789;9.28950246,3
31/05/2014 14:28:48;-26.259740889072418;-48.68081563152373;0.49799395;4.405331;11.913547541,6
31/05/2014 14:28:53;-26.2600405421108;-48.68133547715843;-0.6895301;3.7541082;11.59751345,0
31/05/2014 14:28:58;-26.26029782462865;-48.68173889815807;-1.5801731;3.6296098;7.000645638,2
31/05/2014 14:29:03;-26.2605508742854;-48.68222739547491;-1.4077905;4.711789;6.914454538,7
31/05/2014 14:29:08;-26.260796464048326;-48.68256292305887;-1.1779473;2.6623523;8.43716731,0
31/05/2014 14:29:13;-26.260954127646983;-48.68268043734133;-1.9057846;2.5953147;9.20331112,4
31/05/2014 14:29:18;-26.261039413511753;-48.68289593607187;-3.0262709;2.8060043;13.29260817,1
31/05/2014 14:29:23;-26.261155712418258;-48.683220986276865;-1.8100165;3.1411927;10.10353129,0
31/05/2014 14:29:30;-26.261503854766488;-48.683974938467145;1.436521;4.9895163;11.24317143,2
31/05/2014 14:29:35;-26.26193342730403;-48.68445689789951;-0.8523358;1.8100165;7.60398549,3
31/05/2014 14:29:40;-26.262367484159768;-48.685095850378275;-1.1300632;3.6104562;8.99262158,5
31/05/2014 14:29:45;-26.26280128955841;-48.685770593583584;-1.0534488;0.89064306;6.368576584,8
31/05/2014 14:29:50;-26.263229646719992;-48.68650401011109;-0.038307227;1.1204864;6.924031359,2
31/05/2014 14:29:55;-26.263675270602107;-48.687199875712395;-1.1492168;2.585738;6.44519159,4
31/05/2014 14:30:00;-26.26408439129591;-48.68780882097781;-2.2601264;6.14831;10.95586755,8
31/05/2014 14:30:05;-26.264490243047476;-48.68834157474339;-0.58418524;4.9895163;10.40998951,1
31/05/2014 14:30:10;-26.264818771742284;-48.68886896409094;-0.39264908;3.9456444;11.94227845,2
31/05/2014 14:30:15;-26.265148012898862;-48.68935218080878;-0.1436521;1.0247183;5.640739443,7
31/05/2014 14:30:20;-26.265490036457777;-48.68989499285817;-0.8810662;1.2354081;6.25365545,7
31/05/2014 14:30:25;-26.265857750549912;-48.690455658361316;-0.9768343;1.7429788;6.828263352,0
31/05/2014 14:30:30;-26.26618971582502;-48.690991597250104;-0.49799395;2.528277;10.32379848,6
31/05/2014 14:30:35;-26.26651623286307;-48.69148621335626;-0.33518824;4.9416323;10.10353145,2
31/05/2014 14:30:40;-26.26681659836322;-48.69199859909713;0.5363012;5.401319;11.8177843,7
31/05/2014 14:30:45;-26.26710992306471;-48.692565048113465;-1.0151415;2.3654714;9.85453446,3
31/05/2014 14:30:50;-26.267373114824295;-48.69314054958522;0.91937345;5.104438;13.35964645,5
31/05/2014 14:30:55;-26.267682490870357;-48.69373197667301;1.5801731;4.654328;14.25028947,0
31/05/2014 14:31:00;-26.267991489730775;-48.69432239793241;0.61291564;2.4708161;11.85608748,4
31/05/2014 14:31:05;-26.26831884495914;-48.69488172233105;-0.05746084;2.4516625;9.09796649,5
31/05/2014 14:31:10;-26.268655797466636;-48.69543140754104;0.81402856;2.96881;10.78348445,5
31/05/2014 14:31:15;-26.268982524052262;-48.69597933255136;0.0;0.50757074;7.74763747,2
31/05/2014 14:31:20;-26.26929537858814;-48.69650420732796;0.19153613;1.292869;7.92959646,6
31/05/2014 14:31:25;-26.26958535052836;-48.69707107543945;-0.41180268;1.091756;6.89530145,5
31/05/2014 14:31:30;-26.26993278041482;-48.69763098657131;1.3120226;0.92895025;7.211335749,5
31/05/2014 14:31:35;-26.270290603861213;-48.69803600013256;2.2218192;0.39264908;7.84340543,4
31/05/2014 14:31:40;-26.27065768931061;-48.69850999675691;0.9768343;2.1452048;9.00219845,7
31/05/2014 14:31:45;-26.270991498604417;-48.69891651906073;0.15322891;4.596867;12.14339139,6
31/05/2014 14:31:50;-26.271306867711246;-48.69944231584668;-0.59376204;3.964798;12.22958245,7
31/05/2014 14:31:55;-26.27162449993193;-48.69995336048305;0.47884035;5.315128;12.17212141,8
31/05/2014 14:32:00;-26.271938402205706;-48.70048452168703;0.7757214;2.7485435;10.76433145,7
31/05/2014 14:32:05;-26.272270241752267;-48.70100679807365;0.095768064;0.81402856;8.82981638,0
31/05/2014 14:32:10;-26.272558830678463;-48.70144743472338;0.15322891;2.5474305;9.05965946,1
31/05/2014 14:32:15;-26.272891885600984;-48.701973566785455;-0.2873042;1.13964;6.88572447,7
31/05/2014 14:32:20;-26.27324878703803;-48.70253046043217;0.48841715;1.6950948;10.639832547,9
31/05/2014 14:32:25;-26.27356118056923;-48.703042259439826;0.6703765;2.4037786;8.51378244,3
31/05/2014 14:32:30;-26.27384063322097;-48.703551376238465;0.90979666;2.767697;11.45386143,4
31/05/2014 14:32:35;-26.274115601554513;-48.704091925174;1.4269443;4.0892963;8.216944,3
31/05/2014 14:32:40;-26.27434245776385;-48.70463188737631;0.60333884;2.9496565;8.55208941,6
31/05/2014 14:32:45;-26.274660089984536;-48.70515416376293;1.0630256;3.3039982;9.37569446,3
31/05/2014 14:32:50;-26.27501263283193;-48.705665208399296;1.685518;2.1643584;9.07881345,9
31/05/2014 14:32:55;-26.275235465727746;-48.706274069845676;2.2409728;3.620033;11.913547546,3
31/05/2014 14:33:00;-26.275390405207872;-48.706917045637965;2.0015526;1.685518;12.90953547,9
31/05/2014 14:33:05;-26.275554983876646;-48.70755398645997;1.2737153;2.2505496;5.640739444,8
31/05/2014 14:33:10;-26.275716880336404;-48.7081344332546;1.388637;0.7469909;7.78594443,9
31/05/2014 14:33:15;-26.275877100415528;-48.70876198634505;-0.4405331;0.6895301;11.71243545,0
31/05/2014 14:33:20;-26.276025250554085;-48.70935978367925;0.45968673;0.15322891;8.705317545,5
31/05/2014 14:33:25;-26.27617189195007;-48.70994777418673;0.5363012;1.2641385;9.24161843,7
31/05/2014 14:33:30;-26.276335548609495;-48.71054917573929;1.484405;1.8579005;9.91199544,1
31/05/2014 14:33:35;-26.27648512367159;-48.71116700582206;-0.019153614;0.10534488;8.08282543,0
31/05/2014 14:33:40;-26.27660251222551;-48.711762707680464;-0.7278373;0.45968673;7.546523644,5
31/05/2014 14:33:45;-26.27675204537809;-48.7123703956604;0.90021986;1.8100165;9.59596146,1
31/05/2014 14:33:50;-26.276890682056546;-48.7129729706794;-1.4556746;0.8523358;12.28704443,4
31/05/2014 14:33:55;-26.277045495808125;-48.71355534531176;-1.2545617;1.0630256;13.39795343,2
31/05/2014 14:34:00;-26.277192095294595;-48.71416563168168;0.038307227;1.3790601;7.556100443,9
31/05/2014 14:34:05;-26.277315309271216;-48.714780109003186;0.19153613;1.1300632;7.814674447,9
31/05/2014 14:34:10;-26.277464381419122;-48.715406991541386;0.8331822;0.8810662;11.20486445,7
31/05/2014 14:34:15;-26.277620159089565;-48.71601685881615;0.30645782;0.79487497;9.40442547,2
31/05/2014 14:34:20;-26.277756029739976;-48.71662647463381;1.0247183;1.6089035;8.13070943,9
31/05/2014 14:34:25;-26.277916836552322;-48.71724631637335;-0.02873042;0.9576807;10.50575745,7
31/05/2014 14:34:30;-26.278071817941964;-48.71782248839736;0.15322891;1.3215994;8.140285543,0
31/05/2014 14:34:35;-26.278223362751305;-48.718411568552256;0.6895301;2.6431987;8.92558444,5
31/05/2014 14:34:40;-26.278400640003383;-48.719001822173595;1.2641385;3.5242648;11.75074245,0
31/05/2014 14:34:45;-26.278539444319904;-48.719588639214635;0.32561144;2.6623523;10.83136843,0
31/05/2014 14:34:50;-26.278659640811384;-48.72020487673581;2.9113493;3.8498764;10.687716546,3
31/05/2014 14:34:55;-26.27881881315261;-48.72081767767668;1.2737153;0.50757074;9.05965945,9
31/05/2014 14:35:00;-26.27898171544075;-48.721414133906364;0.7469909;0.92895025;9.82580444,1
31/05/2014 14:35:05;-26.279173828661442;-48.72201628983021;0.81402856;0.25857377;9.28950245,9
31/05/2014 14:35:10;-26.279364642687142;-48.72260168194771;0.49799395;0.6512229;8.58081943,7
31/05/2014 14:35:15;-26.279552774503827;-48.723187912255526;0.94810385;2.5570073;12.42111945,2
31/05/2014 14:35:20;-26.279729967936873;-48.72377288527787;-0.02873042;1.1300632;8.38928344,1
31/05/2014 14:35:25;-26.27989228349179;-48.724377136677504;0.23942018;1.6567876;11.51132245,7
31/05/2014 14:35:30;-26.280054389499128;-48.7249714974314;0.076614454;1.0151415;4.7692545,2
31/05/2014 14:35:35;-26.280199522152543;-48.72557122260332;-0.30645782;3.2082303;11.22401745,2
31/05/2014 14:35:40;-26.2803053855896;-48.726192405447364;-0.9864111;1.8770541;8.0062145,2
31/05/2014 14:35:45;-26.280394359491765;-48.726800847798586;0.2681506;2.5091233;9.1171243,7
31/05/2014 14:35:50;-26.280464599840343;-48.72741222381592;-2.480393;3.4380736;13.73314144,1
31/05/2014 14:35:55;-26.280556842684746;-48.72798169031739;1.0151415;1.9440918;7.259219639,6
31/05/2014 14:36:00;-26.280732401646674;-48.72858694754541;1.043872;2.2218192;6.44519146,3
31/05/2014 14:36:05;-26.280952719971538;-48.72918466106057;1.3215994;0.18195933;8.092401545,9
31/05/2014 14:36:10;-26.281161345541477;-48.729765359312296;2.2888567;-1.2258313;12.07635344,3
31/05/2014 14:36:15;-26.281394278630614;-48.73031529597938;0.9864111;0.62249243;8.0062142,3
31/05/2014 14:36:20;-26.281560282222927;-48.73068166896701;2.528277;-0.047884032;8.85854619,4
31/05/2014 14:36:25;-26.28160516731441;-48.73075735755265;3.2944214;-0.94810385;8.3605537,0
31/05/2014 14:36:30;-26.281642634421587;-48.73083522543311;3.6870706;-1.1587936;8.87776,5
31/05/2014 14:36:35;-26.28167519811541;-48.73091443441808;3.1028855;-1.5035586;9.1650046,5
31/05/2014 14:36:40;-26.281705666333437;-48.73098459094763;3.4955344;-1.4939818;9.3948485,8
31/05/2014 14:36:45;-26.281738774850965;-48.731070505455136;1.5610195;1.4652514;9.7013058,1
31/05/2014 14:36:50;-26.281824856996536;-48.731285417452455;-0.16280572;0.7661445;11.35809328,1
31/05/2014 14:36:55;-26.28196848090738;-48.731723204255104;0.6895301;1.8100165;6.65588135,3
31/05/2014 14:37:00;-26.282230373471975;-48.73240993358195;1.4460979;-0.25857377;7.000645653,3
31/05/2014 14:37:05;-26.282474831677973;-48.733094567433;3.1028855;3.9456444;10.29506751,3
31/05/2014 14:37:10;-26.282776538282633;-48.73371952213347;3.9264908;1.0630256;7.65186952,7
31/05/2014 14:37:15;-26.283085620962083;-48.73431966640055;-0.076614454;-2.030283;7.115567750,2
31/05/2014 14:37:20;-26.28344574943185;-48.73489365912974;0.40222588;-0.15322891;8.46589850,4
31/05/2014 14:37:25;-26.283806590363383;-48.735484750941396;0.0;0.15322891;7.671022450,8
31/05/2014 14:37:30;-26.284174052998424;-48.73605572618544;1.043872;2.5953147;9.29907950,0
31/05/2014 14:37:35;-26.284564272500575;-48.73659610748291;1.043872;2.432509;9.86411151,1
31/05/2014 14:37:40;-26.285015512257814;-48.73711218126118;2.6048915;2.0111294;10.53448852,7
31/05/2014 14:37:45;-26.285450030118227;-48.73761291615665;0.9768343;-0.047884032;7.364564450,0
31/05/2014 14:37:50;-26.285881153307855;-48.73811909928918;0.9576807;0.34476504;10.86009951,1
31/05/2014 14:37:55;-26.286281305365264;-48.738655457273126;0.2777274;0.21068975;5.26724450,4
31/05/2014 14:38:00;-26.28671892452985;-48.739177314564586;1.1204864;-0.46926352;9.95987950,8
31/05/2014 14:38:05;-26.287139025516808;-48.73970964923501;4.003105;-0.58418524;15.12177850,4
31/05/2014 14:38:10;-26.287536998279393;-48.740228824317455;2.4420857;1.8291701;12.25831249,7
31/05/2014 14:38:15;-26.287937653250992;-48.74076719395816;2.2122424;1.388637;9.96945650,8
31/05/2014 14:38:20;-26.288352054543793;-48.74131126329303;4.999093;2.27928;13.96298452,0
31/05/2014 14:38:25;-26.288787578232586;-48.7418532371521;3.2848446;-2.6048915;10.2854952,0
31/05/2014 14:38:30;-26.289216270670295;-48.74235690571368;1.5993267;-0.842759;12.526463549,0
